time,fuel_level,vehicle_speed,engine_speed
1.52E+12,10.79284375,10.79284375,899
1.52E+12,10.70484375,10.70484375,959
1.52E+12,16.12084375,16.12084375,1048
1.52E+12,16.632875,16.632875,1104
1.52E+12,21.584875,21.584875,1444
1.52E+12,22.392875,22.392875,1475
1.52E+12,22.52890625,22.52890625,1370
1.52E+12,19.33690625,19.33690625,1223
1.52E+12,19.90490625,19.90490625,1284
1.52E+12,20.9129375,20.9129375,1299
1.52E+12,23.3529375,23.3529375,1533
1.52E+12,23.5529375,23.5529375,1527
1.52E+12,22.36896875,22.36896875,1466
1.52E+12,23.19296875,23.19296875,1518
1.52E+12,26.44096875,26.44096875,1760
1.52E+12,32.408,32.408,1354
1.52E+12,31.784,31.784,1320
1.52E+12,33.52003125,33.52003125,1408
1.52E+12,31.72803125,31.72803125,1261
1.52E+12,33.5600625,33.5600625,1420
1.52E+12,37.56809375,37.56809375,1596
1.52E+12,39.15209375,39.15209375,1641
1.52E+12,39.024125,39.024125,1575
1.52E+12,34.91215625,34.91215625,1407
1.52E+12,30.60015625,30.60015625,1332
1.52E+12,32.2161875,32.2161875,1288
1.52E+12,29.0481875,29.0481875,1182
1.52E+12,26.63221875,26.63221875,1104
1.52E+12,26.96821875,26.96821875,1092
1.52E+12,22.02421875,22.02421875,901
1.52E+12,20.54425,20.54425,901
1.52E+12,18.63225,18.63225,900
1.52E+12,14.69625,14.69625,907
1.52E+12,13.62428125,13.62428125,875
1.52E+12,14.04828125,14.04828125,887
1.52E+12,13.72028125,13.72028125,881
1.52E+12,15.67228125,15.67228125,947
1.52E+12,15.5523125,15.5523125,997
1.52E+12,16.0723125,16.0723125,1048
1.52E+12,18.6563125,18.6563125,1221
1.52E+12,23.00034375,23.00034375,1537
1.52E+12,27.29634375,27.29634375,1646
1.52E+12,21.73634375,21.73634375,1341
1.52E+12,23.072375,23.072375,1490
1.52E+12,23.608375,23.608375,1547
1.52E+12,26.46440625,26.46440625,1732
1.52E+12,27.35240625,27.35240625,1700
1.52E+12,24.6084375,24.6084375,1563
1.52E+12,20.9364375,20.9364375,1264
1.52E+12,19.3124375,19.3124375,1212
1.52E+12,19.40846875,19.40846875,1233
1.52E+12,20.60846875,20.60846875,1372
1.52E+12,25.99246875,25.99246875,1708
1.52E+12,26.4645,26.4645,1415
1.52E+12,12.0005,12.0005,902
1.52E+12,14.7445,14.7445,1006
1.52E+12,21.27253125,21.27253125,1442
1.52E+12,29.36853125,29.36853125,1987
1.52E+12,31.0485625,31.0485625,1469
1.52E+12,33.7765625,33.7765625,1415
1.52E+12,32.83259375,32.83259375,1323
1.52E+12,31.43259375,31.43259375,1325
1.52E+12,35.248625,35.248625,1481
1.52E+12,38.512625,38.512625,1638
1.52E+12,42.65665625,42.65665625,1787
1.52E+12,45.0486875,45.0486875,1871
1.52E+12,45.78471875,45.78471875,1073
1.52E+12,43.94471875,43.94471875,1301
1.52E+12,41.52075,41.52075,1211
1.52E+12,39.07278125,39.07278125,1158
1.52E+12,39.0968125,39.0968125,1168
1.52E+12,37.9128125,37.9128125,1116
1.52E+12,36.38484375,36.38484375,1055
1.52E+12,33.47284375,33.47284375,973
1.52E+12,34.488875,34.488875,1004
1.52E+12,32.71290625,32.71290625,979
1.52E+12,34.60890625,34.60890625,1036
1.52E+12,33.9129375,33.9129375,989
1.52E+12,35.2329375,35.2329375,1057
1.52E+12,34.00896875,34.00896875,1024
1.52E+12,35.41696875,35.41696875,1071
1.52E+12,37.376,37.376,1129
1.52E+12,36.28003125,36.28003125,1073
1.52E+12,31.92003125,31.92003125,901
1.52E+12,18.1600625,18.1600625,912
1.52E+12,20.1040625,20.1040625,1374
1.52E+12,28.3760625,28.3760625,1912
1.52E+12,29.84809375,29.84809375,1455
1.52E+12,34.056125,34.056125,1445
1.52E+12,39.344125,39.344125,1657
1.52E+12,42.31215625,42.31215625,934
1.52E+12,41.9041875,41.9041875,1255
1.52E+12,43.3041875,43.3041875,1297
1.52E+12,45.02421875,45.02421875,1356
1.52E+12,45.96025,45.96025,1352
1.52E+12,44.79228125,44.79228125,1308
1.52E+12,39.65628125,39.65628125,1146
1.52E+12,33.6323125,33.6323125,1003
1.52E+12,33.0563125,33.0563125,960
1.52E+12,29.84834375,29.84834375,928
1.52E+12,25.16834375,25.16834375,897
1.52E+12,17.560375,17.560375,898
1.52E+12,18.936375,18.936375,828
1.52E+12,22.632375,22.632375,981
1.52E+12,26.52840625,26.52840625,1137
1.52E+12,30.66440625,30.66440625,1260
1.52E+12,31.2084375,31.2084375,1319
1.52E+12,31.1524375,31.1524375,1303
1.52E+12,31.67246875,31.67246875,1335
1.52E+12,34.6405,34.6405,1442
1.52E+12,33.4565,33.4565,1395
1.52E+12,33.66453125,33.66453125,1374
1.52E+12,34.28853125,34.28853125,1409
1.52E+12,31.5525625,31.5525625,1274
1.52E+12,24.3685625,24.3685625,980
1.52E+12,14.60859375,14.60859375,905
1.52E+12,17.01659375,17.01659375,1133
1.52E+12,21.30459375,21.30459375,1370
1.52E+12,22.608625,22.608625,1448
1.52E+12,22.544625,22.544625,1485
1.52E+12,24.288625,24.288625,1527
